"","A2_NAME","A2_GAUL_CODE","A2COUNTRY","Area_mun","Area_covered","Pop_mun","Pop_covered","Burden_mun","Burden_covered","Cost_target"
"4745","Name Unknown",13035,"CHN",12315.1212532815,141.246821092817,5705832.5,495470.8125,172822.53125,20163.892578125,19.7080563436305
"4830","Bara Banki",17896,"IND",4432.30590862539,137.603655468554,3209883.25,381273.65625,100830.875,14419.5224609375,8.02074475056276
"4846","Al Hudaydah",32742,"YEM",203.98021436643,129.478984982199,364113.4375,287385.09375,11173.6435546875,9832.66796875,2.38076218138744
"5024","Gujrat",40361,"PAK",3166.137828516,43.0587804405063,2509797.75,12999.4482421875,75695.21875,419.228210449219,3.76955371792119
"5055","San Salvador",15758,"SLV",73.1449355634434,59.5262362805359,394446.125,359195.71875,16093.384765625,14588.2275390625,3.9350487552844
"5074","Krathum Baen",26991,"THA",137.427077876632,21.4872229440823,168127.375,48138.66015625,6097.7626953125,1754.67492675781,25.6421831990236
"5096","Zabid",32760,"YEM",663.578510919344,24.6675104330124,134848.796875,13370.6142578125,2955.22387695312,534.103881835938,3.23864264593209
"5125","Bhind",17715,"IND",4472.58149164555,11.0080349040993,1606852.125,19027.025390625,49778.71875,858.856750488281,9.86820856464363
"5151","Administrative unit not available",15833,"GNQ",7283.49736881657,69.739970713795,174460.1875,23582.5703125,4141.52685546875,848.894287109375,16.6332969231112
"5171","West Midnapore",70296,"IND",9400.32124658624,70.6703019987757,6182105.5,182330.984375,184365.5,7505.59765625,8.58470765536939
"5221","Ibb",32890,"YEM",225.123217104501,44.2579896226691,343657.5625,161275.3125,4584.34326171875,3202.42114257812,1.52135675927546
"5373","District #1",39187,"LBR",1301.117379892,9.26018044404029,48962.3125,16177.380859375,1692.60290527344,652.477661132812,0.974446924953349
"5378","Quamishli",26353,"SYR",3805.65511090063,61.9829353906617,891940.75,106491.546875,9970.2451171875,3617.74951171875,3.96502563228107
"5441","Saharsa",17624,"IND",1688.99412350393,45.9035371348974,1750547.125,101243.875,57312.90625,4115.09619140625,8.46154350671519
"5477","Name Unknown",13030,"CHN",1957.95300523521,1159.94210306162,15703711,12520727,524494.875,439869.40625,14.0360534760649
"5505","Darayya",26331,"SYR",128.151623648449,4.8084503442992,131682.015625,5198.04150390625,2550.412109375,150.794692993164,4.11690930838839
"5508","Galle",25846,"LKA",1613.4118368977,25.2860108298693,927304.5625,53104.03515625,29616.53125,2076.50927734375,11.0068805817717
"5610","Bang Bua Thong",26800,"THA",130.543161595737,24.3273662293148,137192.0625,32299.080078125,5059.9716796875,1336.84741210938,27.4538171793976
"5628","Naogaon",5811,"BGD",3474.25847558211,0.00320644392398985,2987123.5,6.98319721221924,86518.3203125,0.273274511098862,8.59118968714396
"5629","Hugli",17950,"IND",3152.10962120417,261.33417103423,5024641.5,1141734.625,167587.875,44421.28515625,7.55833895778379
"5652","Almalik city",39880,"UZB",13.7778298735076,1.6663889628649,27999.216796875,6915.92919921875,204.295684814453,71.7542419433594,1.3088372529201
"5713","Kannur",17698,"IND",2773.91950930201,208.279554202785,2437299.25,455709.9375,63686.4453125,18612.96484375,8.30164573231466
"5719","Gondola",21873,"MOZ",5770.15583256138,13.1079625058115,345967.875,45011.40234375,7729.3291015625,1899.57202148438,1.24708403527815
"5771","Samphanthawong",26428,"THA",1.63858575020504,1.63858575020504,32994.8984375,32994.8984375,1242.84790039062,1242.84790039062,23.4696138066537
"5789","Thrissur",17708,"IND",2940.82305994531,220.905157152055,3232136.25,476537.78125,102842.3671875,18648.587890625,7.59939367400186
"5790","Sonitpur",17593,"IND",4667.91602581726,34.4295887247409,1657976.625,11373.7607421875,45751.484375,281.805084228516,5.18364586464261
"5792","Bokaro",70139,"IND",2869.89000389738,97.2032223716146,2309600.5,196407.3125,73840.4375,7992.328125,7.57562490393858
"5793","Ta Khmau",12352,"KHM",31.4762049089589,8.70459542321602,62457.67578125,37504.6640625,2464.18676757812,1692.91491699219,3.43360077638759
"5802","Minburi",26416,"THA",184.463320413327,53.520260737237,319842.40625,161995.640625,10902.455078125,5479.23046875,23.7264346045861
"5806","Firestone",39209,"LBR",492.425785537834,40.3858639464799,117074.78125,64093.140625,4588.29931640625,2766.18530273438,0.974446924953349
"5904","Guidan Roumji",22564,"NER",4776.44384569927,18.8367700428822,610180.625,34948.78125,10655.4189453125,1506.75439453125,0.957748207462129
"5910","Aligarh",17889,"IND",3865.2715811226,202.828200513127,3603036.5,563618.125,115358.3515625,22908.291015625,7.83275790776112
"5930","Commune 3",19368,"MLI",19.7390393754021,19.7390393754021,59632.59375,59632.59375,2129.67114257812,2129.67114257812,0.752954976310173
"5932","San Lorenzo",23863,"PRY",56.6748081051778,23.3917540121619,233570.53125,115565.0078125,9629.6162109375,5148.1240234375,7.71237966089113
"5940","Santiago De Cuba",14789,"CUB",1115.95185420714,47.8676936388751,411429.21875,70188.546875,13474.2958984375,2923.1591796875,11.8542675437704
"5941","Natore",5812,"BGD",1913.59912934702,0.0034191547287492,2016904.625,4.9892144203186,61256.29296875,0.249948397278786,3.01600237278469
"5958","Akola",17758,"IND",5513.91715990666,47.6441366340159,1917763.375,93286.5234375,53915.62109375,3750.89306640625,8.30164573231466
"5966","East Godavari",17551,"IND",10754.8206644988,259.318844894937,5688444,857142.375,179634.40625,35654.85546875,8.25626992562485
"5983","MUSI BANYUASIN",1013561,"IDN",27000.1154225972,3.45749538889888,1425079.5,43611.2578125,38151.38671875,1796.48937988281,18.9607095663596
"6029","Hargeysa",25726,"SOM",13711.9193543332,25.0924633844695,234568.71875,114271.7734375,4079.50366210938,3475.49755859375,0.838699041427716
"6048","Asa",22914,"NGA",1532.12760960448,5.45584719591941,186147.78125,23275.59375,5945.5791015625,1046.13806152344,3.1842877902494
"6105","Chandauli",70262,"IND",2535.50397412941,109.641567679145,1902045,243728.859375,61134.99609375,10611.9677734375,8.02074475056276
"6136","Administrative unit not available",18427,"JAM",1161.31445607464,24.5764768066502,454226.375,21180.177734375,11091.59765625,853.505249023438,8.38417756392973
"6151","Kamembe",25162,"RWA",92.5772518209822,0.324219995971514,81258.2890625,945.05517578125,1741.21704101562,34.3804473876953,1.25823578700521
"6162","Bangkapi",26401,"THA",44.9797984401153,44.9797984401153,328956.09375,328956.09375,12359.0009765625,12359.0009765625,23.7264346045861
"6263","Distrito Municipal 5",65258,"MOZ",58.069886701463,46.1696364988179,302290.125,256053.203125,11120.9814453125,9690.28515625,1.05654710780796
"6313","Naxaithong",18739,"LAO",903.372920591846,14.3019812888437,83313.078125,11717.4775390625,2440.5146484375,458.541839599609,4.69079514522084
"6349","Taling Chan",26430,"THA",95.4689384431061,78.3007056907557,307221.53125,281087.53125,11559.8076171875,10665.9033203125,24.1081949750701
"6438","LIMA",1011849,"PER",2771.1387628039,122.152698304099,7421797.5,2203729.75,163237.4375,70604.2578125,7.09824445890759
"6440","CALLAO",1011851,"PER",163.911590764495,2.28908443452536,469772.96875,45664.59765625,11541.4990234375,1476.99011230469,8.02554089799796
"6615","KOTA DEPOK",1013320,"IDN",196.543010653148,84.7490363062211,1746295,1044204.0625,67532.9453125,42144.8828125,17.8643184812714
"6632","Administrative unit not available",15550,"EGY",935.36326874151,45.4308781238703,4476647,1044343.3125,89886.5,28735.28125,3.5940095164405
"6642","Rupnagar",17832,"IND",2093.77946804581,108.549492424915,1538463.25,386571.8125,41087.15234375,14720.9521484375,7.55833895778379
"6666","Pabna",5815,"BGD",2412.39221916468,136.214106579372,3545728.5,325612.9375,110625.9765625,14601.7890625,2.6121902470921
"6821","Mumbai city",70184,"IND",76.3547882859369,63.0794069331819,1951004.75,1951004.75,72116,72116,5.85564712111757
"6915","KOTA JAKARTA BARAT",1013322,"IDN",123.588231220599,111.236405715815,2245968.5,2163276.5,89630.625,86848.390625,16.0339409373978
"6936","Fatehpur",17909,"IND",4176.84687531664,30.5747112382761,2435585,60879.41015625,73892.234375,2476.36059570312,8.00129786310514
"6957","KOTA JAKARTA PUSAT",1013323,"IDN",52.1748505387058,52.1748505387058,1380342.125,1380342.125,55440.28515625,55440.28515625,15.6623607866461
"6964","KOTA JAKARTA SELATAN",1013324,"IDN",153.039616071688,150.742124363962,2646875,2626716.5,112138.515625,111467.84375,15.9834789163911
"6967","Zvimba",33080,"ZWE",6099.38838974462,0.274875685439646,260231.984375,593.738037109375,4918.3310546875,25.1715774536133,1.89952780528598
